bytes,output,type,metric,n_bytes,n_output,n_type,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",BoundsError,147
999999999999994822656,1000.0 EB,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",BoundsError,455
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,75
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,156
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,197
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,476
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,503
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,482
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,477
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,455
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,462
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,477
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,472
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,443
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,813
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,1088
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,1106
999949,999.9 kB,String,2.0,999950,1.0 MB,String,1363
99949,99.9 kB,String,1.0,99950,100.0 kB,String,1151
9950,9.9 kB,String,1.0,9951,10.0 kB,String,2424
999,999B,String,2.0,1000,1.0 kB,String,1999
99,99B,String,1.0,100,100B,String,4422
9,9B,String,1.0,10,10B,String,9229
false,falseB,String,1.0,true,trueB,String,9648
-1,-1B,String,1.0,0,0B,String,8004
-10,-10B,String,1.0,-9,-9B,String,3719
-100,-100B,String,1.0,-99,-99B,String,2242
-1000,-1000B,String,1.0,-999,-999B,String,1205
-10000,-10000B,String,1.0,-9999,-9999B,String,1669
-100000,-100000B,String,1.0,-99999,-99999B,String,750
-1000000,-1000000B,String,1.0,-999999,-999999B,String,1176
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,851
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,864
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,641
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,391
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,366
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,373
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,352
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,356
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,338
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,367
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,347
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,321
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,118
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,120
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,70
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,196
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,114
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,105
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,133
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,125
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,126
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,141
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,113
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,92
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,21
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,9
