bytes,output,type,metric,n_bytes,n_output,n_type,count
999949,999.9 kB,String,2.0,999950,1.0 MB,String,1
99949,99.9 kB,String,1.0,99950,100.0 kB,String,1
9950,9.9 kB,String,1.0,9951,10.0 kB,String,28
999,999B,String,2.0,1000,1.0 kB,String,647
99,99B,String,1.0,100,100B,String,8305
9,9B,String,1.0,10,10B,String,77921
false,falseB,String,1.0,true,trueB,String,929953
-1,-1B,String,1.0,0,0B,String,448991
-10,-10B,String,1.0,-9,-9B,String,27117
-100,-100B,String,1.0,-99,-99B,String,2508
-1000,-1000B,String,1.0,-999,-999B,String,216
-10000,-10000B,String,1.0,-9999,-9999B,String,15
