bytes,output,type,metric,n_bytes,n_output,n_type,count
-1,-1B,String,1.0,0,0B,String,57336828
-10,-10B,String,1.0,-9,-9B,String,3876660
-100,-100B,String,1.0,-99,-99B,String,617316
-1000,-1000B,String,1.0,-999,-999B,String,177396
-10000,-10000B,String,1.0,-9999,-9999B,String,213048
-100000,-100000B,String,1.0,-99999,-99999B,String,104052
-1000000,-1000000B,String,1.0,-999999,-999999B,String,148380
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,104292
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,103356
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,78948
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,45360
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,46140
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,47184
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,45228
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,45276
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,46380
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,45996
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,45504
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,40800
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,15240
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,14424
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,9456
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,23352
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,15372
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,14880
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,15792
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,15480
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,15192
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,15372
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,14460
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,10284
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,3984
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,828
9,9B,String,1.0,10,10B,String,10984620
99,99B,String,1.0,100,100B,String,1597596
9950,9.9 kB,String,1.0,9951,10.0 kB,String,302976
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,140316
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,58248
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,58428
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,23304
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,58368
999,999B,String,2.0,1000,1.0 kB,String,334152
99949,99.9 kB,String,1.0,99950,100.0 kB,String,144120
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,135900
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,59820
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,59856
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,20088
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,59736
999949,999.9 kB,String,2.0,999950,1.0 MB,String,178788
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,106692
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,61056
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,58428
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,8196
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,54012
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",BoundsError,17676
999999999999994822656,1000.0 EB,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",BoundsError,55968
false,falseB,String,1.0,true,trueB,String,117856896
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,String,36
