bytes,output,type,metric,n_bytes,n_output,n_type,count
-1,-1B,String,1.0,0,0B,String,79809
-10,-10B,String,1.0,-9,-9B,String,36850
-100,-100B,String,1.0,-99,-99B,String,22898
-1000,-1000B,String,1.0,-999,-999B,String,11868
-10000,-10000B,String,1.0,-9999,-9999B,String,16747
-100000,-100000B,String,1.0,-99999,-99999B,String,8205
-1000000,-1000000B,String,1.0,-999999,-999999B,String,11696
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8247
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8214
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6234
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3578
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3642
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3755
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3577
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3602
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3673
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3636
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3590
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3231
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1202
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1139
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,753
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1838
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1205
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1190
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1253
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1220
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1209
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1220
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1147
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,823
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,312
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,67
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,String,3
9,9B,String,1.0,10,10B,String,92478
99,99B,String,1.0,100,100B,String,44358
9950,9.9 kB,String,1.0,9951,10.0 kB,String,23597
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11134
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4594
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4636
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1847
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4624
999,999B,String,2.0,1000,1.0 kB,String,20332
99949,99.9 kB,String,1.0,99950,100.0 kB,String,11389
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,10778
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,4750
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,4736
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,1585
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,4727
999949,999.9 kB,String,2.0,999950,1.0 MB,String,14070
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,8464
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,4864
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,4627
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,655
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,4283
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",BoundsError,1396
999999999999994822656,1000.0 EB,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",BoundsError,4425
false,falseB,String,1.0,true,trueB,String,94401
