bytes,output,type,metric,n_bytes,n_output,n_type,count
-1,-1B,String,1.0,0,0B,String,4469286
-10,-10B,String,1.0,-9,-9B,String,270747
-100,-100B,String,1.0,-99,-99B,String,26004
-1000,-1000B,String,1.0,-999,-999B,String,2158
-10000,-10000B,String,1.0,-9999,-9999B,String,119
-100000,-100000B,String,1.0,-99999,-99999B,String,9
-1000000,-1000000B,String,1.0,-999999,-999999B,String,1
9,9B,String,1.0,10,10B,String,778555
99,99B,String,1.0,100,100B,String,82355
9950,9.9 kB,String,1.0,9951,10.0 kB,String,367
999,999B,String,2.0,1000,1.0 kB,String,6132
99949,99.9 kB,String,1.0,99950,100.0 kB,String,23
999949,999.9 kB,String,2.0,999950,1.0 MB,String,3
false,falseB,String,1.0,true,trueB,String,9256341
