year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
-1,0,79,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,-1,1,79,"ArgumentError(""Day: 79 out of range (1:31)"")",ArgumentError,12
-1,9,3,-0001-09-03,Dates.Date,1.0,0,9,3,0000-09-03,Dates.Date,12
-1,99999,1,"ArgumentError(""Month: 99999 out of range (1:12)"")",ArgumentError,1.0,-1,100000,1,"ArgumentError(""Month: 100000 out of range (1:12)"")",ArgumentError,12
-1002405903035394518,999,61221612,"ArgumentError(""Month: 999 out of range (1:12)"")",ArgumentError,1.0,-1002405903035394518,1000,61221612,"ArgumentError(""Month: 1000 out of range (1:12)"")",ArgumentError,12
-10030,0,2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,33.0,-10030,1,2,-10030-01-02,Dates.Date,12
-1005,0,-1308819,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,-1005,1,-1308819,"ArgumentError(""Day: -1308819 out of range (1:31)"")",ArgumentError,12
-10293413,9,0,"ArgumentError(""Day: 0 out of range (1:30)"")",ArgumentError,28.0,-10293413,9,1,-10293413-09-01,Dates.Date,12
-11039,0,-100885334362,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,10.0,-11039,1,-100885334362,"ArgumentError(""Day: -100885334362 out of range (1:31)"")",ArgumentError,12
-11465488,999999,1,"ArgumentError(""Month: 999999 out of range (1:12)"")",ArgumentError,1.0,-11465488,1000000,1,"ArgumentError(""Month: 1000000 out of range (1:12)"")",ArgumentError,12
-128,0,11886756,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,-128,1,11886756,"ArgumentError(""Day: 11886756 out of range (1:31)"")",ArgumentError,12
-175,0,7883706,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,4.0,-175,1,7883706,"ArgumentError(""Day: 7883706 out of range (1:31)"")",ArgumentError,12
-178217612,0,78893,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,-178217612,1,78893,"ArgumentError(""Day: 78893 out of range (1:31)"")",ArgumentError,12
-197,0,10,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,34.0,-197,1,10,-0197-01-10,Dates.Date,12
-23,0,1853797303,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,7.0,-23,1,1853797303,"ArgumentError(""Day: 1853797303 out of range (1:31)"")",ArgumentError,12
-23838084493,99,1,"ArgumentError(""Month: 99 out of range (1:12)"")",ArgumentError,1.0,-23838084493,100,1,"ArgumentError(""Month: 100 out of range (1:12)"")",ArgumentError,12
