year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
553322279808220,0,59,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,553322279808220,1,59,"ArgumentError(""Day: 59 out of range (1:31)"")",ArgumentError,1
122490298,0,14,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,30.0,122490298,1,14,122490298-01-14,Dates.Date,1
57359805,-10,50,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,57359805,-9,50,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
62817,12,248,"ArgumentError(""Day: 248 out of range (1:31)"")",ArgumentError,1.0,62817,13,248,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
4483,-100000,18605,"ArgumentError(""Month: -100000 out of range (1:12)"")",ArgumentError,1.0,4483,-99999,18605,"ArgumentError(""Month: -99999 out of range (1:12)"")",ArgumentError,1
2964,0,6147,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,2964,1,6147,"ArgumentError(""Day: 6147 out of range (1:31)"")",ArgumentError,1
1386,0,15988,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,1386,1,15988,"ArgumentError(""Day: 15988 out of range (1:31)"")",ArgumentError,1
1270,9999999,1642,"ArgumentError(""Month: 9999999 out of range (1:12)"")",ArgumentError,1.0,1270,10000000,1642,"ArgumentError(""Month: 10000000 out of range (1:12)"")",ArgumentError,1
175,2,-1000000000000,"ArgumentError(""Day: -1000000000000 out of range (1:28)"")",ArgumentError,1.0,175,2,-999999999999,"ArgumentError(""Day: -999999999999 out of range (1:28)"")",ArgumentError,1
3,10,99999999,"ArgumentError(""Day: 99999999 out of range (1:31)"")",ArgumentError,1.0,3,10,100000000,"ArgumentError(""Day: 100000000 out of range (1:31)"")",ArgumentError,1
2,2,0,"ArgumentError(""Day: 0 out of range (1:28)"")",ArgumentError,33.0,2,2,1,0002-02-01,Dates.Date,1
1,12,495961744,"ArgumentError(""Day: 495961744 out of range (1:31)"")",ArgumentError,5.0,1,13,495961744,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
1,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,35.0,1,1,1,0001-01-01,Dates.Date,1
0,999999,0,"ArgumentError(""Month: 999999 out of range (1:12)"")",ArgumentError,1.0,0,1000000,0,"ArgumentError(""Month: 1000000 out of range (1:12)"")",ArgumentError,1
0,9999,15391,"ArgumentError(""Month: 9999 out of range (1:12)"")",ArgumentError,1.0,0,10000,15391,"ArgumentError(""Month: 10000 out of range (1:12)"")",ArgumentError,1
0,0,381390,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,3.0,0,1,381390,"ArgumentError(""Day: 381390 out of range (1:31)"")",ArgumentError,1
0,-100,-2376,"ArgumentError(""Month: -100 out of range (1:12)"")",ArgumentError,1.0,0,-99,-2376,"ArgumentError(""Month: -99 out of range (1:12)"")",ArgumentError,1
-1,99999,1,"ArgumentError(""Month: 99999 out of range (1:12)"")",ArgumentError,1.0,-1,100000,1,"ArgumentError(""Month: 100000 out of range (1:12)"")",ArgumentError,1
-8,-100000,0,"ArgumentError(""Month: -100000 out of range (1:12)"")",ArgumentError,1.0,-8,-99999,0,"ArgumentError(""Month: -99999 out of range (1:12)"")",ArgumentError,1
-876,12,12,-0876-12-12,Dates.Date,35.0,-876,13,12,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
