year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
6973526988486204742,9,30,236765532748364-42198434155544720-06,Dates.Date,8.0,6973526988486204742,9,31,"ArgumentError(""Day: 31 out of range (1:30)"")",ArgumentError,1
4918996768237239958,1,-1,"ArgumentError(""Day: -1 out of range (1:31)"")",ArgumentError,1.0,4918996768237239958,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
4274642300397724029,0,-1414547954397734996,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,17.0,4274642300397724029,1,-1414547954397734996,"ArgumentError(""Day: -1414547954397734996 out of range (1:31)"")",ArgumentError,1
3881074107280435925,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,9.0,3881074107280435925,1,1,233803581271819-24113390946025552--3689348814741910306,Dates.Date,1
3667177485238549663,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,10.0,3667177485238549663,1,1,-24680971709392-6028347736506392--7378697629483820635,Dates.Date,1
3271788417765244065,0,266336902,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,6.0,3271788417765244065,1,266336902,"ArgumentError(""Day: 266336902 out of range (1:31)"")",ArgumentError,1
2248392435153586095,0,-2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,2248392435153586095,1,-2,"ArgumentError(""Day: -2 out of range (1:31)"")",ArgumentError,1
1840361376524842315,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,10.0,1840361376524842315,1,1,-57945010784182-24113390946025556-7378697629483820672,Dates.Date,1
1700808726041531719,0,10868,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,1700808726041531719,1,10868,"ArgumentError(""Day: 10868 out of range (1:31)"")",ArgumentError,1
1536142453433165453,1,30,-233939572151727-12056695473012779-7378697629483820659,Dates.Date,10.0,1536142453433165453,2,30,"ArgumentError(""Day: 30 out of range (1:28)"")",ArgumentError,1
1350967378856001252,0,4342,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,1350967378856001252,1,4342,"ArgumentError(""Day: 4342 out of range (1:31)"")",ArgumentError,1
1311320146995861429,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,7.0,1311320146995861429,1,1,198149546221915--24113390946025548--21,Dates.Date,1
