year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
-1,-1,-1,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,-1,0,-1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2
-1,-1,-2,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,-1,0,-2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
-1,-1,-38,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,-1,0,-38,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
-1,-1,-494,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,-1,0,-494,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
-1,-1,-55,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,-1,0,-55,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
-1,-1,-7472656391,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,-1,0,-7472656391,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
-1,-1,-8,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,-1,0,-8,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
-1,-1,0,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,-1,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2
-1,-1,1,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,-1,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,3
-1,-1,196,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,-1,0,196,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
-1,-1,20,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,-1,0,20,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
-1,-1,203942288801367,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,-1,0,203942288801367,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
-1,-1,24,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,-1,0,24,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
-1,-1,281,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,-1,0,281,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
-1,-1,38,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,-1,0,38,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
-1,-1,4635,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,-1,0,4635,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
-1,-1,48,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,-1,0,48,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
-1,-10,-1246,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,-1,-9,-1246,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
-1,-10,-14313,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,-1,-9,-14313,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
-1,-10,-34,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,-1,-9,-34,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
-1,-10,0,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,-1,-9,0,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,2
-1,-10,1,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,-1,-9,1,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,2
-1,-10,125,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,-1,-9,125,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
-1,-10,3007,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,-1,-9,3007,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
-1,-10,3795,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,-1,-9,3795,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
-1,-10,695299410,"ArgumentError(""Month: -10 out of range (1:12)"")",ArgumentError,1.0,-1,-9,695299410,"ArgumentError(""Month: -9 out of range (1:12)"")",ArgumentError,1
-1,-100,0,"ArgumentError(""Month: -100 out of range (1:12)"")",ArgumentError,1.0,-1,-99,0,"ArgumentError(""Month: -99 out of range (1:12)"")",ArgumentError,2
-1,-100,1,"ArgumentError(""Month: -100 out of range (1:12)"")",ArgumentError,1.0,-1,-99,1,"ArgumentError(""Month: -99 out of range (1:12)"")",ArgumentError,2
-1,-100,2014075,"ArgumentError(""Month: -100 out of range (1:12)"")",ArgumentError,1.0,-1,-99,2014075,"ArgumentError(""Month: -99 out of range (1:12)"")",ArgumentError,1
-1,-100,35,"ArgumentError(""Month: -100 out of range (1:12)"")",ArgumentError,1.0,-1,-99,35,"ArgumentError(""Month: -99 out of range (1:12)"")",ArgumentError,1
-1,-1000,-110,"ArgumentError(""Month: -1000 out of range (1:12)"")",ArgumentError,1.0,-1,-999,-110,"ArgumentError(""Month: -999 out of range (1:12)"")",ArgumentError,1
-1,-1000,0,"ArgumentError(""Month: -1000 out of range (1:12)"")",ArgumentError,1.0,-1,-999,0,"ArgumentError(""Month: -999 out of range (1:12)"")",ArgumentError,1
-1,-1000,16214,"ArgumentError(""Month: -1000 out of range (1:12)"")",ArgumentError,1.0,-1,-999,16214,"ArgumentError(""Month: -999 out of range (1:12)"")",ArgumentError,1
-1,-1000,3,"ArgumentError(""Month: -1000 out of range (1:12)"")",ArgumentError,1.0,-1,-999,3,"ArgumentError(""Month: -999 out of range (1:12)"")",ArgumentError,1
-1,-1000,6543809135768,"ArgumentError(""Month: -1000 out of range (1:12)"")",ArgumentError,1.0,-1,-999,6543809135768,"ArgumentError(""Month: -999 out of range (1:12)"")",ArgumentError,1
-1,-10000,-10464,"ArgumentError(""Month: -10000 out of range (1:12)"")",ArgumentError,1.0,-1,-9999,-10464,"ArgumentError(""Month: -9999 out of range (1:12)"")",ArgumentError,1
-1,-10000,-5,"ArgumentError(""Month: -10000 out of range (1:12)"")",ArgumentError,1.0,-1,-9999,-5,"ArgumentError(""Month: -9999 out of range (1:12)"")",ArgumentError,1
-1,-10000,0,"ArgumentError(""Month: -10000 out of range (1:12)"")",ArgumentError,1.0,-1,-9999,0,"ArgumentError(""Month: -9999 out of range (1:12)"")",ArgumentError,1
-1,-100000,10,"ArgumentError(""Month: -100000 out of range (1:12)"")",ArgumentError,1.0,-1,-99999,10,"ArgumentError(""Month: -99999 out of range (1:12)"")",ArgumentError,1
-1,-10000000,-11,"ArgumentError(""Month: -10000000 out of range (1:12)"")",ArgumentError,1.0,-1,-9999999,-11,"ArgumentError(""Month: -9999999 out of range (1:12)"")",ArgumentError,1
-1,-10000000,1,"ArgumentError(""Month: -10000000 out of range (1:12)"")",ArgumentError,1.0,-1,-9999999,1,"ArgumentError(""Month: -9999999 out of range (1:12)"")",ArgumentError,1
-1,-10000000,3877,"ArgumentError(""Month: -10000000 out of range (1:12)"")",ArgumentError,1.0,-1,-9999999,3877,"ArgumentError(""Month: -9999999 out of range (1:12)"")",ArgumentError,1
-1,-100000000,-5629,"ArgumentError(""Month: -100000000 out of range (1:12)"")",ArgumentError,1.0,-1,-99999999,-5629,"ArgumentError(""Month: -99999999 out of range (1:12)"")",ArgumentError,1
-1,-100000000,50,"ArgumentError(""Month: -100000000 out of range (1:12)"")",ArgumentError,1.0,-1,-99999999,50,"ArgumentError(""Month: -99999999 out of range (1:12)"")",ArgumentError,1
-1,-10000000000,402931087,"ArgumentError(""Month: -10000000000 out of range (1:12)"")",ArgumentError,1.0,-1,-9999999999,402931087,"ArgumentError(""Month: -9999999999 out of range (1:12)"")",ArgumentError,1
-1,-1000000000000,10,"ArgumentError(""Month: -1000000000000 out of range (1:12)"")",ArgumentError,1.0,-1,-999999999999,10,"ArgumentError(""Month: -999999999999 out of range (1:12)"")",ArgumentError,1
-1,-1000000000000000,-983706617,"ArgumentError(""Month: -1000000000000000 out of range (1:12)"")",ArgumentError,1.0,-1,-999999999999999,-983706617,"ArgumentError(""Month: -999999999999999 out of range (1:12)"")",ArgumentError,1
-1,0,-1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,-1,1,-1,"ArgumentError(""Day: -1 out of range (1:31)"")",ArgumentError,2
-1,0,-1001,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,-1,1,-1001,"ArgumentError(""Day: -1001 out of range (1:31)"")",ArgumentError,1
-1,0,-1189,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,-1,1,-1189,"ArgumentError(""Day: -1189 out of range (1:31)"")",ArgumentError,1
-1,0,-122265,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,4.0,-1,1,-122265,"ArgumentError(""Day: -122265 out of range (1:31)"")",ArgumentError,1
-1,0,-12370,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,3.0,-1,1,-12370,"ArgumentError(""Day: -12370 out of range (1:31)"")",ArgumentError,1
-1,0,-12964047,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,6.0,-1,1,-12964047,"ArgumentError(""Day: -12964047 out of range (1:31)"")",ArgumentError,1
-1,0,-13149,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,3.0,-1,1,-13149,"ArgumentError(""Day: -13149 out of range (1:31)"")",ArgumentError,1
-1,0,-15444911,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,6.0,-1,1,-15444911,"ArgumentError(""Day: -15444911 out of range (1:31)"")",ArgumentError,1
-1,0,-15713,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,3.0,-1,1,-15713,"ArgumentError(""Day: -15713 out of range (1:31)"")",ArgumentError,1
-1,0,-161605,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,4.0,-1,1,-161605,"ArgumentError(""Day: -161605 out of range (1:31)"")",ArgumentError,1
-1,0,-18687,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,3.0,-1,1,-18687,"ArgumentError(""Day: -18687 out of range (1:31)"")",ArgumentError,1
-1,0,-2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,-1,1,-2,"ArgumentError(""Day: -2 out of range (1:31)"")",ArgumentError,2
-1,0,-2027,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,-1,1,-2027,"ArgumentError(""Day: -2027 out of range (1:31)"")",ArgumentError,1
-1,0,-2355,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,-1,1,-2355,"ArgumentError(""Day: -2355 out of range (1:31)"")",ArgumentError,1
-1,0,-260294,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,4.0,-1,1,-260294,"ArgumentError(""Day: -260294 out of range (1:31)"")",ArgumentError,1
-1,0,-2619370,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,-1,1,-2619370,"ArgumentError(""Day: -2619370 out of range (1:31)"")",ArgumentError,1
-1,0,-2766,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,-1,1,-2766,"ArgumentError(""Day: -2766 out of range (1:31)"")",ArgumentError,1
-1,0,-3,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,-1,1,-3,"ArgumentError(""Day: -3 out of range (1:31)"")",ArgumentError,1
-1,0,-300415,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,4.0,-1,1,-300415,"ArgumentError(""Day: -300415 out of range (1:31)"")",ArgumentError,1
-1,0,-352,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,-1,1,-352,"ArgumentError(""Day: -352 out of range (1:31)"")",ArgumentError,1
-1,0,-54605499,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,6.0,-1,1,-54605499,"ArgumentError(""Day: -54605499 out of range (1:31)"")",ArgumentError,1
-1,0,-6,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,-1,1,-6,"ArgumentError(""Day: -6 out of range (1:31)"")",ArgumentError,1
-1,0,-6255,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,-1,1,-6255,"ArgumentError(""Day: -6255 out of range (1:31)"")",ArgumentError,1
-1,0,-687,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,-1,1,-687,"ArgumentError(""Day: -687 out of range (1:31)"")",ArgumentError,1
-1,0,-7056315,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,-1,1,-7056315,"ArgumentError(""Day: -7056315 out of range (1:31)"")",ArgumentError,1
-1,0,-710410,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,4.0,-1,1,-710410,"ArgumentError(""Day: -710410 out of range (1:31)"")",ArgumentError,1
-1,0,-8,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,-1,1,-8,"ArgumentError(""Day: -8 out of range (1:31)"")",ArgumentError,1
-1,0,-9,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,-1,1,-9,"ArgumentError(""Day: -9 out of range (1:31)"")",ArgumentError,1
-1,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,-1,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,13
-1,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,34.0,-1,1,1,-0001-01-01,Dates.Date,15
-1,0,10,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,34.0,-1,1,10,-0001-01-10,Dates.Date,1
