sut,time,algorithm,groundtruthsize,found_mean,found_sd,found_unique
BMI classification,30,bcs,4979,104.2,9.319036669336828,543
BMI classification,30,lns,4979,623.9,40.4871721797301,4194
BMI classification,600,bcs,70265,1398.7,45.161561827140865,7631
BMI classification,600,lns,70265,8233.2,196.64282341341624,59890
BMI,30,bcs,16549,209.3,42.98333010210664,1126
BMI,30,lns,16549,2054.0,61.2626404190279,14918
BMI,600,bcs,227899,2959.1,52.857145002144954,15895
BMI,600,lns,227899,27581.0,265.3973959513879,205389
ByteCount,30,bcs,57,56.1,0.5676462121975466,46
ByteCount,30,lns,57,9.5,0.7071067811865476,0
ByteCount,600,bcs,58,57.2,0.4216370213557839,44
ByteCount,600,lns,58,12.0,0.6666666666666666,0
Julia Date,30,bcs,2444,21.6,5.910442735813733,191
Julia Date,30,lns,2444,246.1,13.682511140544015,2232
Julia Date,600,bcs,45456,897.4,82.630637309791,7276
Julia Date,600,lns,45456,4351.6,86.3162145189934,37216
