bytes,output,type,metric,n_bytes,n_output,n_type,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",BoundsError,7
999999999999994822656,1000.0 EB,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",BoundsError,15
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,3
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,7
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,13
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,27
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,19
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,19
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,20
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,20
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,17
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,20
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,18
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,22
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,38
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,50
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,47
999949,999.9 kB,String,2.0,999950,1.0 MB,String,59
99949,99.9 kB,String,1.0,99950,100.0 kB,String,42
9950,9.9 kB,String,1.0,9951,10.0 kB,String,96
999,999B,String,2.0,1000,1.0 kB,String,99
99,99B,String,1.0,100,100B,String,202
9,9B,String,1.0,10,10B,String,430
false,falseB,String,1.0,true,trueB,String,486
-1,-1B,String,1.0,0,0B,String,353
-10,-10B,String,1.0,-9,-9B,String,172
-100,-100B,String,1.0,-99,-99B,String,117
-1000,-1000B,String,1.0,-999,-999B,String,72
-10000,-10000B,String,1.0,-9999,-9999B,String,85
-100000,-100000B,String,1.0,-99999,-99999B,String,38
-1000000,-1000000B,String,1.0,-999999,-999999B,String,49
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,30
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,50
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,44
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,14
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,13
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,22
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,17
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,14
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,18
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,20
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,13
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,25
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,4
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,2
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,7
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,13
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,10
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,6
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,7
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,6
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,7
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,4
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,9
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,5
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,1
