bytes,output,type,metric,n_bytes,n_output,n_type,count
99949,99.9 kB,String,1.0,99950,100.0 kB,String,1
9950,9.9 kB,String,1.0,9951,10.0 kB,String,1
999,999B,String,2.0,1000,1.0 kB,String,21
99,99B,String,1.0,100,100B,String,377
9,9B,String,1.0,10,10B,String,3748
false,falseB,String,1.0,true,trueB,String,43783
-1,-1B,String,1.0,0,0B,String,20812
-10,-10B,String,1.0,-9,-9B,String,1323
-100,-100B,String,1.0,-99,-99B,String,127
-1000,-1000B,String,1.0,-999,-999B,String,9
-10000,-10000B,String,1.0,-9999,-9999B,String,1
